Row,Player,Fixture,Scout,Error,Source File
98,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
99,Owen Goodman,AFC Wimbledon 0-0 Chesterfield,nan,Empty scout name,FinalScoutReports.xlsx
103,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
105,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
107,nan,nan,nan,Empty player name,FinalScoutReports.xlsx
350,nan,REPEAT REPORT - KEEP BLANK FOR ID PURPOSES,nan,Empty player name,FinalScoutReports.xlsx
431,nan,REPEAT REPORT - KEEP BLANK FOR ID PURPOSES,nan,Empty player name,FinalScoutReports.xlsx
547,Kalidou Sidibe,nan,Thomas White,Empty fixture,FinalScoutReports.xlsx
604,Freddie Potts,Queens Park Rangers 1-2 Portsmouth,Alfie Shaw,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
619,Paul Smyth,Queens Park Rangers 1-2 Portsmouth,Alfie Shaw,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
635,Tarik Gozusirin,VfL Osnabruck 0-1 Wehen Wiesbaden,Alfie Shaw,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
643,Lars Kehl,VfL Osnabruck 0-1 Wehen Wiesbaden,Alfie Shaw,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
644,Mark O'Mahony,Queens Park Rangers 1-2 Portsmouth,Alfie Shaw,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
650,Marcus Coco,Montpellier 1-3 Nantes,Reece Jackson,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
660,Joris Chotard,Montpellier 1-3 Nantes,Reece Jackson,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
688,Moritz Flotho,VfL Osnabruck 0-1 Wehen Wiesbaden,Alfie Shaw,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
730,Tanguy Coulibaly,Montpellier 1-3 Nantes,Reece Jackson,"000904 (42000): SQL compilation error: error line 9 at position 42
invalid identifier 'NAN'",FinalScoutReports.xlsx
891,Elkan Baggott,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
893,Kristian Pedersen,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
917,Ismail Oulad M'Hand,FC Arsenal U21 vs Nottingham Forest U21,Darren Sarll,Fixture not found: FC Arsenal U21 vs Nottingham Forest U21 on 2025-01-23 (36 fixtures checked),FinalScoutReports.xlsx
926,Luke Faxon,Stephen Henderson Goalkeeper Analysis,Stephen Henderson,Could not parse fixture: Stephen Henderson Goalkeeper Analysis,FinalScoutReports.xlsx
962,James Shea,Stephen Henderson Goalkeeper Analysis,Stephen Henderson,Could not parse fixture: Stephen Henderson Goalkeeper Analysis,FinalScoutReports.xlsx
969,Connal Trueman,Bristol Rovers v Crawley Town 16.11.24 Wycombe Wanderers v Crawley Town 12.11.24 Crawley Town v Huddersfield Town 09.11.24,Stephen Henderson,Empty fixture date,FinalScoutReports.xlsx
1006,Oliver Dovin,Stephen Henderson Goalkeeper Analysis,Stephen Henderson,Could not parse fixture: Stephen Henderson Goalkeeper Analysis,FinalScoutReports.xlsx
1057,Jak Alnwick,nan,Josh Hill,Empty fixture,FinalScoutReports.xlsx
1090,Simon Eastwood,Stephen Henderson Goalkeeper Analysis,Stephen Henderson,Could not parse fixture: Stephen Henderson Goalkeeper Analysis,FinalScoutReports.xlsx
1172,Cheick Oumar Konate,nan,Thomas White,Empty fixture,FinalScoutReports.xlsx
