Row,Player,Fixture,Scout,Grade,Source File
1,Marco Rente,FC Groningen 0-0 Almere City,Liam Burden,Monitor,noAndyScott.xlsx
2,Brynjolfur Andersen Willumsson,FC Groningen 0-0 Almere City,Liam Burden,Scout,noAndyScott.xlsx
3,Junior Kadile,FC Groningen 0-0 Almere City,Liam Burden,Monitor,noAndyScott.xlsx
4,Jochem Ritmeester van de Kamp,FC Groningen 0-0 Almere City,Liam Burden,No Action,noAndyScott.xlsx
5,David Sousa,RWD Molenbeek 0-1 Lommel SK,Liam Burden,Target,noAndyScott.xlsx
6,Noah Dodeigne,RWD Molenbeek 0-1 Lommel SK,Liam Burden,Scout,noAndyScott.xlsx
7,Shuto Abe,RWD Molenbeek 0-1 Lommel SK,Liam Burden,No Action,noAndyScott.xlsx
8,Mohamed Salah,RWD Molenbeek 0-1 Lommel SK,Liam Burden,Monitor,noAndyScott.xlsx
9,Tyler Bindon,Colchester 2-2 Reading,Andy Scott,nan,noAndyScott.xlsx
10,Milan Van Ewijk,Stevenage 1-3 Coventry,Andy Scott,nan,noAndyScott.xlsx
